city_alias,city_alias_norm,metro_title,primary_state,region,population,alias_match_rank
Little Rock-North Little Rock-Conway,LITTLE ROCK-NORTH LITTLE ROCK-CONWAY,"Little Rock-North Little Rock-Conway, AR",AR,South,770959,1
Lodi,LODI,"Stockton-Lodi, CA",CA,West,816108,1
Logan,LOGAN,"Logan, UT-ID",UT,West,160053,1
Long Beach,LONG BEACH,"Los Angeles-Long Beach-Anaheim, CA",CA,West,12927614,1
Longview,LONGVIEW,"Longview, TX",TX,South,295490,1
Longview,LONGVIEW,"Longview-Kelso, WA",WA,West,113982,2
Longview Kelso,LONGVIEW KELSO,"Longview-Kelso, WA",WA,West,113982,1
Longview-Kelso,LONGVIEW-KELSO,"Longview-Kelso, WA",WA,West,113982,1
Los Angeles,LOS ANGELES,"Los Angeles-Long Beach-Anaheim, CA",CA,West,12927614,1
Los Angeles Long Beach Anaheim,LOS ANGELES LONG BEACH ANAHEIM,"Los Angeles-Long Beach-Anaheim, CA",CA,West,12927614,1
Los Angeles-Long Beach-Anaheim,LOS ANGELES-LONG BEACH-ANAHEIM,"Los Angeles-Long Beach-Anaheim, CA",CA,West,12927614,1
Louisville,LOUISVILLE,"Louisville/Jefferson County, KY-IN",KY,South,1396762,1
Louisville/Jefferson County,LOUISVILLE JEFFERSON COUNTY,"Louisville/Jefferson County, KY-IN",KY,South,1396762,1
Loveland,LOVELAND,"Fort Collins-Loveland, CO",CO,West,374574,1
Lubbock,LUBBOCK,"Lubbock, TX",TX,South,367530,1
Lynchburg,LYNCHBURG,"Lynchburg, VA",VA,South,267427,1
Macon,MACON,"Macon-Bibb County, GA",GA,South,236551,1
Macon Bibb County,MACON BIBB COUNTY,"Macon-Bibb County, GA",GA,South,236551,1
Macon-Bibb County,MACON-BIBB COUNTY,"Macon-Bibb County, GA",GA,South,236551,1
Madison,MADISON,"Madison, WI",WI,Midwest,707606,1
Manchester,MANCHESTER,"Manchester-Nashua, NH",NH,Northeast,430462,1
Manchester Nashua,MANCHESTER NASHUA,"Manchester-Nashua, NH",NH,Northeast,430462,1
Manchester-Nashua,MANCHESTER-NASHUA,"Manchester-Nashua, NH",NH,Northeast,430462,1
Mandeville,MANDEVILLE,"Slidell-Mandeville-Covington, LA",LA,South,277615,1
Manhattan,MANHATTAN,"Manhattan, KS",KS,Midwest,134892,1
Mankato,MANKATO,"Mankato, MN",MN,Midwest,105193,1
Mansfield,MANSFIELD,"Mansfield, OH",OH,Midwest,124853,1
Marco Island,MARCO ISLAND,"Naples-Marco Island, FL",FL,South,416233,1
Martinsburg,MARTINSBURG,"Hagerstown-Martinsburg, MD-WV",MD,South,312992,1
Massillon,MASSILLON,"Canton-Massillon, OH",OH,Midwest,400551,1
McAllen,MCALLEN,"McAllen-Edinburg-Mission, TX",TX,South,914820,1
McAllen Edinburg Mission,MCALLEN EDINBURG MISSION,"McAllen-Edinburg-Mission, TX",TX,South,914820,1
McAllen-Edinburg-Mission,MCALLEN-EDINBURG-MISSION,"McAllen-Edinburg-Mission, TX",TX,South,914820,1
Medford,MEDFORD,"Medford, OR",OR,West,221331,1
Melbourne,MELBOURNE,"Palm Bay-Melbourne-Titusville, FL",FL,South,658447,1
Memphis,MEMPHIS,"Memphis, TN-MS-AR",TN,South,1337653,1
Merced,MERCED,"Merced, CA",CA,West,296774,1
Mesa,MESA,"Phoenix-Mesa-Chandler, AZ",AZ,West,5186958,1
Metairie,METAIRIE,"New Orleans-Metairie, LA",LA,South,966230,1
Miami,MIAMI,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,6457988,1
Miami Fort Lauderdale West Palm Beach,MIAMI FORT LAUDERDALE WEST PALM BEACH,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,6457988,1
Miami-Fort Lauderdale-West Palm Beach,MIAMI-FORT LAUDERDALE-WEST PALM BEACH,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,6457988,1
Michigan City,MICHIGAN CITY,"Michigan City-La Porte, IN",IN,Midwest,111348,1
Michigan City La Porte,MICHIGAN CITY LA PORTE,"Michigan City-La Porte, IN",IN,Midwest,111348,1
Michigan City-La Porte,MICHIGAN CITY-LA PORTE,"Michigan City-La Porte, IN",IN,Midwest,111348,1
Midland,MIDLAND,"Midland, TX",TX,South,188071,1
Midland,MIDLAND,"Midland, MI",MI,Midwest,84022,2
Milwaukee,MILWAUKEE,"Milwaukee-Waukesha, WI",WI,Midwest,1574452,1
Milwaukee Waukesha,MILWAUKEE WAUKESHA,"Milwaukee-Waukesha, WI",WI,Midwest,1574452,1
Milwaukee-Waukesha,MILWAUKEE-WAUKESHA,"Milwaukee-Waukesha, WI",WI,Midwest,1574452,1
Minneapolis,MINNEAPOLIS,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Midwest,3757952,1
Minneapolis St Paul Bloomington,MINNEAPOLIS SAINT PAUL BLOOMINGTON,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Midwest,3757952,1
Minneapolis-St Paul-Bloomington,MINNEAPOLIS-ST PAUL-BLOOMINGTON,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Midwest,3757952,1
Minot,MINOT,"Minot, ND",ND,Midwest,75815,1
Mishawaka,MISHAWAKA,"South Bend-Mishawaka, IN-MI",IN,Midwest,325294,1
Mission,MISSION,"McAllen-Edinburg-Mission, TX",TX,South,914820,1
Missoula,MISSOULA,"Missoula, MT",MT,West,126608,1
Mobile,MOBILE,"Mobile, AL",AL,South,412339,1
Modesto,MODESTO,"Modesto, CA",CA,West,556972,1
Moline,MOLINE,"Davenport-Moline-Rock Island, IA-IL",IA,Midwest,381415,1
Monroe,MONROE,"Monroe, LA",LA,South,222072,1
Monroe,MONROE,"Monroe, MI",MI,Midwest,156045,2
Montgomery,MONTGOMERY,"Montgomery, AL",AL,South,386587,1
Morganton,MORGANTON,"Hickory-Lenoir-Morganton, NC",NC,South,373031,1
Morgantown,MORGANTOWN,"Morgantown, WV",WV,South,142752,1
Morristown,MORRISTOWN,"Morristown, TN",TN,South,126932,1
Mount Pleasant,MOUNT PLEASANT,"Racine-Mount Pleasant, WI",WI,Midwest,198651,1
Mount Vernon,MOUNT VERNON,"Mount Vernon-Anacortes, WA",WA,West,132736,1
Mount Vernon Anacortes,MOUNT VERNON ANACORTES,"Mount Vernon-Anacortes, WA",WA,West,132736,1
Mount Vernon-Anacortes,MOUNT VERNON-ANACORTES,"Mount Vernon-Anacortes, WA",WA,West,132736,1
Muncie,MUNCIE,"Muncie, IN",IN,Midwest,112951,1
Murfreesboro,MURFREESBORO,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,South,2151715,1
Murray,MURRAY,"Salt Lake City-Murray, UT",UT,West,1300762,1
Muscle Shoals,MUSCLE SHOALS,"Florence-Muscle Shoals, AL",AL,South,156287,1
Muskegon,MUSKEGON,"Muskegon-Norton Shores, MI",MI,Midwest,177428,1
Muskegon Norton Shores,MUSKEGON NORTON SHORES,"Muskegon-Norton Shores, MI",MI,Midwest,177428,1
Muskegon-Norton Shores,MUSKEGON-NORTON SHORES,"Muskegon-Norton Shores, MI",MI,Midwest,177428,1
Myrtle Beach,MYRTLE BEACH,"Myrtle Beach-Conway-North Myrtle Beach, SC",SC,South,413391,1
Myrtle Beach Conway North Myrtle Beach,MYRTLE BEACH CONWAY NORTH MYRTLE BEACH,"Myrtle Beach-Conway-North Myrtle Beach, SC",SC,South,413391,1
Myrtle Beach-Conway-North Myrtle Beach,MYRTLE BEACH-CONWAY-NORTH MYRTLE BEACH,"Myrtle Beach-Conway-North Myrtle Beach, SC",SC,South,413391,1
Napa,NAPA,"Napa, CA",CA,West,132727,1
Naperville,NAPERVILLE,"Chicago-Naperville-Elgin, IL-IN",IL,Midwest,9406924,1
Naples,NAPLES,"Naples-Marco Island, FL",FL,South,416233,1
Naples Marco Island,NAPLES MARCO ISLAND,"Naples-Marco Island, FL",FL,South,416233,1
Naples-Marco Island,NAPLES-MARCO ISLAND,"Naples-Marco Island, FL",FL,South,416233,1
Nashua,NASHUA,"Manchester-Nashua, NH",NH,Northeast,430462,1
Nashville,NASHVILLE,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,South,2151715,1
Nashville Davidson Murfreesboro Franklin,NASHVILLE DAVIDSON MURFREESBORO FRANKLIN,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,South,2151715,1
Nashville-Davidson--Murfreesboro--Franklin,NASHVILLE-DAVIDSON--MURFREESBORO--FRANKLIN,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,South,2151715,1
Neenah,NEENAH,"Oshkosh-Neenah, WI",WI,Midwest,173307,1
New Braunfels,NEW BRAUNFELS,"San Antonio-New Braunfels, TX",TX,South,2763006,1
New Haven,NEW HAVEN,"New Haven, CT",CT,Northeast,576718,1
New London,NEW LONDON,"Norwich-New London-Willimantic, CT",CT,Northeast,282602,1
New Orleans,NEW ORLEANS,"New Orleans-Metairie, LA",LA,South,966230,1
New Orleans Metairie,NEW ORLEANS METAIRIE,"New Orleans-Metairie, LA",LA,South,966230,1
New Orleans-Metairie,NEW ORLEANS-METAIRIE,"New Orleans-Metairie, LA",LA,South,966230,1
New York,NEW YORK,"New York-Newark-Jersey City, NY-NJ",NY,Northeast,19940274,1
New York Newark Jersey City,NEW YORK NEWARK JERSEY CITY,"New York-Newark-Jersey City, NY-NJ",NY,Northeast,19940274,1
New York-Newark-Jersey City,NEW YORK-NEWARK-JERSEY CITY,"New York-Newark-Jersey City, NY-NJ",NY,Northeast,19940274,1
Newark,NEWARK,"New York-Newark-Jersey City, NY-NJ",NY,Northeast,19940274,1
Newburgh,NEWBURGH,"Kiryas Joel-Poughkeepsie-Newburgh, NY",NY,Northeast,711730,1
Newton,NEWTON,"Boston-Cambridge-Newton, MA-NH",MA,Northeast,5025517,1
Niles,NILES,"Niles, MI",MI,Midwest,152703,1
Norfolk,NORFOLK,"Virginia Beach-Chesapeake-Norfolk, VA-NC",VA,South,1796689,1
North Charleston,NORTH CHARLESTON,"Charleston-North Charleston, SC",SC,South,869940,1
North Las Vegas,NORTH LAS VEGAS,"Las Vegas-Henderson-North Las Vegas, NV",NV,West,2398871,1
North Little Rock,NORTH LITTLE ROCK,"Little Rock-North Little Rock-Conway, AR",AR,South,770959,1
North Myrtle Beach,NORTH MYRTLE BEACH,"Myrtle Beach-Conway-North Myrtle Beach, SC",SC,South,413391,1
North Port,NORTH PORT,"North Port-Bradenton-Sarasota, FL",FL,South,934956,1
North Port Bradenton Sarasota,NORTH PORT BRADENTON SARASOTA,"North Port-Bradenton-Sarasota, FL",FL,South,934956,1
North Port-Bradenton-Sarasota,NORTH PORT-BRADENTON-SARASOTA,"North Port-Bradenton-Sarasota, FL",FL,South,934956,1
Northampton,NORTHAMPTON,"Amherst Town-Northampton, MA",MA,Northeast,165399,1
Norton Shores,NORTON SHORES,"Muskegon-Norton Shores, MI",MI,Midwest,177428,1
Norwich,NORWICH,"Norwich-New London-Willimantic, CT",CT,Northeast,282602,1
Norwich New London Willimantic,NORWICH NEW LONDON WILLIMANTIC,"Norwich-New London-Willimantic, CT",CT,Northeast,282602,1
Norwich-New London-Willimantic,NORWICH-NEW LONDON-WILLIMANTIC,"Norwich-New London-Willimantic, CT",CT,Northeast,282602,1
Oakland,OAKLAND,"San Francisco-Oakland-Fremont, CA",CA,West,4648486,1
Ocala,OCALA,"Ocala, FL",FL,South,428905,1
Odessa,ODESSA,"Odessa, TX",TX,South,170022,1
Ogden,OGDEN,"Ogden, UT",UT,West,669210,1
Oklahoma City,OKLAHOMA CITY,"Oklahoma City, OK",OK,South,1497821,1
Olympia,OLYMPIA,"Olympia-Lacey-Tumwater, WA",WA,West,302912,1
Olympia Lacey Tumwater,OLYMPIA LACEY TUMWATER,"Olympia-Lacey-Tumwater, WA",WA,West,302912,1
Olympia-Lacey-Tumwater,OLYMPIA-LACEY-TUMWATER,"Olympia-Lacey-Tumwater, WA",WA,West,302912,1
Omaha,OMAHA,"Omaha, NE-IA",NE,Midwest,1001186,1
Onalaska,ONALASKA,"La Crosse-Onalaska, WI-MN",WI,Midwest,170763,1
Ontario,ONTARIO,"Riverside-San Bernardino-Ontario, CA",CA,West,4744214,1
Opelika,OPELIKA,"Auburn-Opelika, AL",AL,South,205355,1
Orem,OREM,"Provo-Orem-Lehi, UT",UT,West,760154,1
Orlando,ORLANDO,"Orlando-Kissimmee-Sanford, FL",FL,South,2940513,1
Orlando Kissimmee Sanford,ORLANDO KISSIMMEE SANFORD,"Orlando-Kissimmee-Sanford, FL",FL,South,2940513,1
Orlando-Kissimmee-Sanford,ORLANDO-KISSIMMEE-SANFORD,"Orlando-Kissimmee-Sanford, FL",FL,South,2940513,1
Ormond Beach,ORMOND BEACH,"Deltona-Daytona Beach-Ormond Beach, FL",FL,South,739516,1
Oshkosh,OSHKOSH,"Oshkosh-Neenah, WI",WI,Midwest,173307,1
Oshkosh Neenah,OSHKOSH NEENAH,"Oshkosh-Neenah, WI",WI,Midwest,173307,1
Oshkosh-Neenah,OSHKOSH-NEENAH,"Oshkosh-Neenah, WI",WI,Midwest,173307,1
Owensboro,OWENSBORO,"Owensboro, KY",KY,South,112812,1
Oxford,OXFORD,"Anniston-Oxford, AL",AL,South,116427,1
Oxnard,OXNARD,"Oxnard-Thousand Oaks-Ventura, CA",CA,West,835427,1
Oxnard Thousand Oaks Ventura,OXNARD THOUSAND OAKS VENTURA,"Oxnard-Thousand Oaks-Ventura, CA",CA,West,835427,1
Oxnard-Thousand Oaks-Ventura,OXNARD-THOUSAND OAKS-VENTURA,"Oxnard-Thousand Oaks-Ventura, CA",CA,West,835427,1
Paducah,PADUCAH,"Paducah, KY-IL",KY,South,99814,1
Palm Bay,PALM BAY,"Palm Bay-Melbourne-Titusville, FL",FL,South,658447,1
Palm Bay Melbourne Titusville,PALM BAY MELBOURNE TITUSVILLE,"Palm Bay-Melbourne-Titusville, FL",FL,South,658447,1
Palm Bay-Melbourne-Titusville,PALM BAY-MELBOURNE-TITUSVILLE,"Palm Bay-Melbourne-Titusville, FL",FL,South,658447,1
Panama City,PANAMA CITY,"Panama City-Panama City Beach, FL",FL,South,226221,1
Panama City Beach,PANAMA CITY BEACH,"Panama City-Panama City Beach, FL",FL,South,226221,1
Panama City Panama City Beach,PANAMA CITY PANAMA CITY BEACH,"Panama City-Panama City Beach, FL",FL,South,226221,1
Panama City-Panama City Beach,PANAMA CITY-PANAMA CITY BEACH,"Panama City-Panama City Beach, FL",FL,South,226221,1
Parkersburg,PARKERSBURG,"Parkersburg-Vienna, WV",WV,South,87120,1
Parkersburg Vienna,PARKERSBURG VIENNA,"Parkersburg-Vienna, WV",WV,South,87120,1
Parkersburg-Vienna,PARKERSBURG-VIENNA,"Parkersburg-Vienna, WV",WV,South,87120,1
Pasadena,PASADENA,"Houston-Pasadena-The Woodlands, TX",TX,South,7796182,1
Paso Robles,PASO ROBLES,"San Luis Obispo-Paso Robles, CA",CA,West,281843,1
Pensacola,PENSACOLA,"Pensacola-Ferry Pass-Brent, FL",FL,South,538928,1
Pensacola Ferry Pass Brent,PENSACOLA FERRY PASS BRENT,"Pensacola-Ferry Pass-Brent, FL",FL,South,538928,1
Pensacola-Ferry Pass-Brent,PENSACOLA-FERRY PASS-BRENT,"Pensacola-Ferry Pass-Brent, FL",FL,South,538928,1
Peoria,PEORIA,"Peoria, IL",IL,Midwest,365668,1
Petaluma,PETALUMA,"Santa Rosa-Petaluma, CA",CA,West,485375,1
Philadelphia,PHILADELPHIA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,Northeast,6330422,1
Philadelphia Camden Wilmington,PHILADELPHIA CAMDEN WILMINGTON,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,Northeast,6330422,1
Philadelphia-Camden-Wilmington,PHILADELPHIA-CAMDEN-WILMINGTON,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,Northeast,6330422,1
Phoenix,PHOENIX,"Phoenix-Mesa-Chandler, AZ",AZ,West,5186958,1
Phoenix Mesa Chandler,PHOENIX MESA CHANDLER,"Phoenix-Mesa-Chandler, AZ",AZ,West,5186958,1
Phoenix-Mesa-Chandler,PHOENIX-MESA-CHANDLER,"Phoenix-Mesa-Chandler, AZ",AZ,West,5186958,1
Pinehurst,PINEHURST,"Pinehurst-Southern Pines, NC",NC,South,108417,1
Pinehurst Southern Pines,PINEHURST SOUTHERN PINES,"Pinehurst-Southern Pines, NC",NC,South,108417,1
Pinehurst-Southern Pines,PINEHURST-SOUTHERN PINES,"Pinehurst-Southern Pines, NC",NC,South,108417,1
Pittsburgh,PITTSBURGH,"Pittsburgh, PA",PA,Northeast,2429917,1
Pittsfield,PITTSFIELD,"Pittsfield, MA",MA,Northeast,128726,1
Pocatello,POCATELLO,"Pocatello, ID",ID,West,91010,1
Port Arthur,PORT ARTHUR,"Beaumont-Port Arthur, TX",TX,South,398733,1
Port Orchard,PORT ORCHARD,"Bremerton-Silverdale-Port Orchard, WA",WA,West,281420,1
Port Royal,PORT ROYAL,"Hilton Head Island-Bluffton-Port Royal, SC",SC,South,237393,1
Port St Lucie,PORT SAINT LUCIE,"Port St. Lucie, FL",FL,South,556336,1
Portage,PORTAGE,"Kalamazoo-Portage, MI",MI,Midwest,264780,1
Portland,PORTLAND,"Portland-Vancouver-Hillsboro, OR-WA",OR,West,2537070,1
Portland,PORTLAND,"Portland-South Portland, ME",ME,Northeast,571534,2
Portland South Portland,PORTLAND SOUTH PORTLAND,"Portland-South Portland, ME",ME,Northeast,571534,1
Portland Vancouver Hillsboro,PORTLAND VANCOUVER HILLSBORO,"Portland-Vancouver-Hillsboro, OR-WA",OR,West,2537070,1
Portland-South Portland,PORTLAND-SOUTH PORTLAND,"Portland-South Portland, ME",ME,Northeast,571534,1
Portland-Vancouver-Hillsboro,PORTLAND-VANCOUVER-HILLSBORO,"Portland-Vancouver-Hillsboro, OR-WA",OR,West,2537070,1
Poughkeepsie,POUGHKEEPSIE,"Kiryas Joel-Poughkeepsie-Newburgh, NY",NY,Northeast,711730,1
Prescott,PRESCOTT,"Prescott Valley-Prescott, AZ",AZ,West,252013,1
Prescott Valley,PRESCOTT VALLEY,"Prescott Valley-Prescott, AZ",AZ,West,252013,1
Prescott Valley Prescott,PRESCOTT VALLEY PRESCOTT,"Prescott Valley-Prescott, AZ",AZ,West,252013,1
Prescott Valley-Prescott,PRESCOTT VALLEY-PRESCOTT,"Prescott Valley-Prescott, AZ",AZ,West,252013,1
Princeton,PRINCETON,"Trenton-Princeton, NJ",NJ,Northeast,392138,1
Providence,PROVIDENCE,"Providence-Warwick, RI-MA",RI,Northeast,1700901,1
Providence Warwick,PROVIDENCE WARWICK,"Providence-Warwick, RI-MA",RI,Northeast,1700901,1
Providence-Warwick,PROVIDENCE-WARWICK,"Providence-Warwick, RI-MA",RI,Northeast,1700901,1
Provo,PROVO,"Provo-Orem-Lehi, UT",UT,West,760154,1
Provo Orem Lehi,PROVO OREM LEHI,"Provo-Orem-Lehi, UT",UT,West,760154,1
Provo-Orem-Lehi,PROVO-OREM-LEHI,"Provo-Orem-Lehi, UT",UT,West,760154,1
Pueblo,PUEBLO,"Pueblo, CO",CO,West,169866,1
Punta Gorda,PUNTA GORDA,"Punta Gorda, FL",FL,South,212122,1
Racine,RACINE,"Racine-Mount Pleasant, WI",WI,Midwest,198651,1
Racine Mount Pleasant,RACINE MOUNT PLEASANT,"Racine-Mount Pleasant, WI",WI,Midwest,198651,1
Racine-Mount Pleasant,RACINE-MOUNT PLEASANT,"Racine-Mount Pleasant, WI",WI,Midwest,198651,1
Radford,RADFORD,"Blacksburg-Christiansburg-Radford, VA",VA,South,183318,1
Raleigh,RALEIGH,"Raleigh-Cary, NC",NC,South,1562009,1
Raleigh Cary,RALEIGH CARY,"Raleigh-Cary, NC",NC,South,1562009,1
Raleigh-Cary,RALEIGH-CARY,"Raleigh-Cary, NC",NC,South,1562009,1
Rapid City,RAPID CITY,"Rapid City, SD",SD,Midwest,153470,1
Reading,READING,"Reading, PA",PA,Northeast,439117,1
Redding,REDDING,"Redding, CA",CA,West,181121,1
Reno,RENO,"Reno, NV",NV,West,575266,1
Richland,RICHLAND,"Kennewick-Richland, WA",WA,West,319428,1
Richmond,RICHMOND,"Richmond, VA",VA,South,1368219,1
Richmond County,RICHMOND COUNTY,"Augusta-Richmond County, GA-SC",GA,South,636658,1
Riverside,RIVERSIDE,"Riverside-San Bernardino-Ontario, CA",CA,West,4744214,1
Riverside San Bernardino Ontario,RIVERSIDE SAN BERNARDINO ONTARIO,"Riverside-San Bernardino-Ontario, CA",CA,West,4744214,1
Riverside-San Bernardino-Ontario,RIVERSIDE-SAN BERNARDINO-ONTARIO,"Riverside-San Bernardino-Ontario, CA",CA,West,4744214,1
Roanoke,ROANOKE,"Roanoke, VA",VA,South,315456,1
Rochester,ROCHESTER,"Rochester, NY",NY,Northeast,1057218,1
Rochester,ROCHESTER,"Rochester, MN",MN,Midwest,230742,2
Rock Island,ROCK ISLAND,"Davenport-Moline-Rock Island, IA-IL",IA,Midwest,381415,1
Rockford,ROCKFORD,"Rockford, IL",IL,Midwest,337103,1
